Designator,Mid X,Mid Y,Rotation,Layer
J2,108.0,-49.0,90.0,top
J6,108.0,-85.0,90.0,top
U2,87.2,-68.0,0.0,top
C2,87.5,-60.0,0.0,top
U1,86.2,-35.0,0.0,top
J3,68.0,-39.5,-90.0,top
J4,108.0,-67.0,90.0,top
J8,67.85,-84.5,-90.0,top
J1,68.0,-25.25,-90.0,top
J5,68.0,-54.25,-90.0,top
C1,88.5,-92.0,0.0,top
J9,67.85,-99.25,-90.0,top
J7,68.0,-69.25,-90.0,top
